id,lat,lon,name,description
130927661,53.3404659,-6.2502856,Merrion Square,
292993304,53.2702891,-6.3323766,Hunters Green,
299811484,53.5242590,-7.3367671,Town Park,
299811485,53.5254088,-7.3378062,Town Park,
313311964,55.2103492,-6.2465133,,
336181934,53.3438913,-6.2283654,Thorncastle Street,
365684518,52.9964423,-6.9898106,Castle Park,
365684814,52.9920585,-6.9776314,People's Park,
390006601,52.9050429,-8.3442172,Playground,
392901053,52.8081457,-8.4495293,Killaloe Playground,
410916664,53.4871577,-10.0283745,Beach Road,
449839926,53.6967051,-7.6148292,Edgeworthstown Green,Wheelchair: yes;
455351962,52.2768229,-7.9946549,Chapel Lane,
459761906,54.4084327,-6.6019917,Loughgall Country Park,
461631298,51.8585259,-8.0032740,Garryvoe Beach Parking,
469943494,52.6730932,-9.1054995,,
535157696,51.5786410,-9.0285254,Carbery's Lane,
564931616,53.3170713,-6.2646898,Tranquilla Park,
582140076,52.2727790,-7.1122838,Arlington Road,
582559969,53.1529557,-6.9155751,Kildare Village Outlet,
583671637,53.3564609,-6.2565632,Mountjoy Square Park,
629693615,53.3444987,-6.2844901,Digital Hub,
661064238,55.2028657,-6.2452795,Quay Road,
662930238,53.3476767,-6.2740125,St. Michan's House,
667380268,52.8628649,-8.9821018,BarneyS Kidz Club,
674503443,53.2511564,-6.8442032,Church View,
678543730,53.0056938,-6.3457155,Wicklow Way,
678572343,52.6552578,-7.2391344,O'Loughlin Road,
685467790,54.5385030,-5.9832360,Lady Dixon Playground,
692434356,53.3282784,-6.2346402,Herbert Park,
699720923,53.1391440,-8.9430194,Convent Park,
700994756,54.3021578,-6.1407469,Upper Bann,
701150818,53.3600261,-6.2423278,Courtney Place,
703177461,54.3462652,-6.2658132,Solitude Park Play Area,
711969733,54.0986942,-6.2498573,Warrenpoint Park,
715638934,52.1415538,-8.2781602,Fermoy Playground,
716016184,54.1022094,-6.2446442,Clonallon Park,
728052916,54.0981620,-6.1876361,Kilbroney Park,
729786626,54.1345082,-6.2609930,Carrogs Road,
737812738,53.7318876,-7.9054082,Camlin River,
737813586,53.6726613,-7.9922803,Commons North / Lanesborough,
761244636,53.6966948,-7.4819874,Streete Community,
804635464,53.3237297,-6.2345796,Herbert Park,
844210986,53.0594593,-8.2075635,Terryglass,With: slide ;
851221701,54.3565334,-6.2773937,Huntly Play Park,
914511131,54.2126626,-8.5200693,,
928311472,53.4500234,-6.2050670,Kidzone Children's Play & Party Centre,
960930997,54.1747670,-6.3454760,Raymond McCreesh Park,
990277825,53.3552423,-6.2724160,Western Way,
1002847000,54.6407200,-5.5384135,Cannyreagh Road,
1002847005,54.6366499,-5.5296038,,
1078940098,53.2765299,-6.4005097,Kiltalown Park,
1168896708,53.0060074,-7.4695714,Kiln Lane,
1185283279,52.9070529,-6.9690738,Killeen Gardens,
1231392982,54.5970615,-5.7058095,Glenford Park,
1240892165,53.5091509,-6.4690819,Steeplechase Playground,
1248161934,52.6624715,-7.2456992,Newpark Close,
1259952911,53.0524472,-8.4009799,Woodford Playground,
1262076164,54.6007096,-5.6995021,Cedar Drive,
1286999109,54.1683694,-6.3293486,Barley Lane,
1287050602,54.1932522,-6.3352609,Cloghanramer Road,
1287050647,54.1945883,-6.3399278,Rathmore Road,
1293714072,53.8579758,-7.9193377,,
1306091193,53.0348842,-6.8981612,Moate View,
1337268139,52.0236501,-9.4984183,Woodland Play Area,
1338605088,52.6600497,-7.2310237,Garrigreen Neighbourhood Park,
1338757310,52.6611790,-7.2304311,Hebron Park,
1338757385,52.6609726,-7.2317077,Garrigreen Neighbourhood Park,
1355681361,53.9854897,-8.2357379,Adventure Kingdom,
1355681362,53.9853369,-8.2352636,Boda Borg,
1355681439,53.9850296,-8.2339906,Boda Borg,
1363666239,52.6540431,-7.2340884,Bishop Birch Place,
1367191179,52.5415701,-7.3910032,Fair Green,
1386542671,53.1480939,-6.2072465,Powerscourt Waterfall,
1388483968,53.8837698,-9.5455850,The Gráinne Uaile,
1395867899,52.0609841,-9.5206725,Killarney Playground,
1400419545,52.6476373,-7.1962745,Lyrath Estate Hotel,
1403180127,53.5514324,-9.9445299,Trail of Connemara national Park,
1408996559,53.1147021,-6.0522259,,
1420420025,53.0113770,-7.1425076,Stradbally Playground,
1424173035,52.2500008,-7.0595817,Waterford Castle Golf Club,
1428319629,53.3002196,-6.4949036,Castle Lyons,
1428863796,51.9306500,-8.5692361,River Martin,
1428864326,51.9279555,-8.5676071,The Rock Close,
1447018368,52.7052367,-8.8779316,,
1474045636,54.2685179,-8.5031827,Play Area,
1538260433,51.9603665,-7.8579839,Millennium Park,
1556315576,55.2920503,-7.1457265,,
1585798508,54.7381308,-6.0371070,Six Mile Water,
1587385962,54.9078827,-6.6651663,Drumcroone Road,
1607004434,53.5263521,-6.1795013,Dun Emer playground,
1609201989,53.3418839,-7.6159073,Clara Bridge,
1614921888,52.9746140,-6.0284322,Basic Playground,
1622287522,52.1671395,-7.1340393,Run Amuck,commercial indoor playground;
1627081660,53.4526726,-7.0967796,Kinnegad Bypass,
1631191708,54.5907609,-5.6993778,Dairy Hall,
1662804446,53.2845902,-6.1745684,Newtown Park Playground,
1667742680,53.3904087,-6.1378896,Bayside Park,
1673200136,54.6194081,-5.9398886,Cavehill Road,
1682179189,54.2141229,-5.8956688,Islands Park,
1685158366,54.2476119,-5.8604806,Dundrum Road,
1685865529,51.8741167,-8.4974264,Scoil an Athar Maitiú Girls National School,
1695163282,54.3925920,-8.5247863,Church of Mary Immaculate,
1733983776,53.2752936,-9.0598309,Skatepark,
1733983809,53.2753465,-9.0602761,Millennium Children's Park,
1749643033,53.2493474,-8.9623507,,
1770764864,54.2891496,-7.9016056,,
1770795839,54.2853841,-8.0014707,,
1771560100,51.5545747,-9.2626633,Playground,
1780842279,53.5472256,-9.9442099,Trail of Connemra national Park,
1799667834,53.2709130,-6.2759689,Marley Playground,
1806180161,54.8022108,-7.5853997,CPI Centre,
1828122417,52.4750753,-7.0586923,Puzzle the Monkey Playground,
1843630767,52.6840854,-8.7093976,Radisson BLU Hotel & Spa,
1853556774,53.9898514,-6.3866120,Muirhevnamor District Park,
1866432815,53.2008986,-6.1018780,Sidmonton Park,
1870673216,53.3365610,-6.5107068,Elm Park Noursing Home,
1870962526,52.6294962,-9.5004614,Cappagh Road,
1878601354,53.4143719,-7.2993833,Playground,
1878614335,54.1242664,-6.0023988,Silent Valley,
1889602652,53.2746622,-9.0490204,Forster Street,
1909660766,53.6521900,-6.6806823,People's Park,
1929681319,53.3406441,-6.3197760,Camac,Wheelchair: yes;
1929903346,54.0104669,-7.5260521,Killeshandra GAA Pitch,
1932897577,52.2691416,-8.0944742,Public Playground,
1933772170,54.3508604,-6.6596621,Cathedral Road,
1939425972,54.5990767,-7.2780687,McClay Park,
1941574311,53.3255085,-8.2285195,,
1945522169,54.5738693,-5.9538184,Cranmore Park,
1949572406,54.5503168,-5.9972315,Glenburn Road,
1949591588,54.5507010,-6.0039908,Glebe Road,
1980996755,54.4598163,-5.8314515,Playpark,
1981721766,53.3699101,-6.1727712,St Anne's Park Playground,
1991402192,53.8991797,-8.5908031,Ballaghaderreen Playground,
1997227004,53.8591193,-9.2922848,Castlebar River,
1997227085,53.8594245,-9.2927223,,
1997227113,53.8594865,-9.2907322,Castlebar River,
1997227156,53.8599357,-9.2907407,Castlebar River,
1997227199,53.8601788,-9.2923395,,
1997227214,53.8602508,-9.2914517,,
1997228045,53.8651994,-9.2848630,,
1997228096,53.8659611,-9.2824901,,
2014291513,54.0563039,-7.7947658,Playground,
2017154825,52.7077557,-8.7593982,Gallows Hill,
2079377212,54.5398294,-5.4841248,Lanis 2,
2102972653,53.3476811,-6.2784590,Haymarket,Wheelchair: yes;
2109325644,51.9198445,-8.4539382,Plaground ,
2109352901,51.9877477,-8.4794994,Playground,
2163359448,52.8676912,-6.9030864,Oak Park Playground,
2210446008,54.1162183,-6.4094795,Slieve Gullion,
2217794780,54.0958433,-9.3147439,,
2218704026,54.4126538,-6.1583179,Playpark,
2247323074,54.6804295,-5.8840212,Shore Road,
2277927618,52.9396303,-8.8963237,Ballinruan Road,
2306042424,55.1071778,-6.4202068,Main Street,
2314623282,51.8921723,-8.7566579,Farran Wood,
2317923755,53.7149687,-6.3614621,Rathmullan Road,
2365293821,52.9420753,-7.0421030,Ballylynan Community Playground,
2383113245,52.8001210,-6.1438420,Arklow Outdoor Gym,
2424886639,52.0608517,-9.0645308,Corkery's,
2526670436,51.9210274,-8.4794070,Planet Leisure Centre,
2534264492,52.7990535,-7.2104133,Castlecomer Fire Station,
2575593834,54.6494025,-5.7100904,Ballykillaire Playground,
2581760884,53.2946256,-6.3286358,Woodland Activity Area,
2616785711,51.9102644,-8.4684833,Assumption Road,
2838481442,53.7335004,-6.9068137,People's Park,
2919202683,55.1443440,-7.8357177,,
2923755322,51.8473998,-8.3363025,Castle Square,
2934090877,53.3547967,-6.2492884,Killarney Street,
2934109567,53.3415439,-6.2448724,Leo Fitzgerald House,
2934109589,53.3500839,-6.2431062,Crinan Strand,
2947953097,53.3528319,-6.2516354,Corporation Street,
2949971732,52.3908967,-6.9484086,New Ross Town Park,
2965589239,54.0712754,-7.0798053,Cootehill Celtic GAA,
2984192212,53.2715472,-7.4977510,Llyod Town Park,
3049628510,51.9480011,-8.5449842,Blarney Caravan Camping Park,
3055057529,54.0094236,-6.3930505,Saint Helena's Terrace,
3055073587,53.5108521,-6.5459904,The Gables,
3072647756,52.7587692,-8.8931340,O'Regan Park Playground,
3075437520,55.1796755,-7.9770978,Dunfanaghy Workhouse,
3174849174,52.5635266,-7.6704529,Killenaule Play Ground,
3184268453,53.3448543,-6.2393559,Chimney Park,
10507039,53.3145210,-6.2907582,Neagh Road,
22943302,53.2962081,-6.2116909,Deer Park,
23389855,53.4440288,-6.1600485,Malahide Castle,
23413184,53.5855248,-6.1566357,Ardgillan Castle and Demesne,
23511665,53.5853720,-6.1021711,Martello Tower,
25019470,53.3843198,-6.2598371,Albert College Park,
25770330,53.2830787,-6.3163626,Knocklyon Shopping Center,
26125275,53.2844550,-6.3159436,Saint Colmcilles National School,
27031144,53.3469998,-6.4383264,Griffeen Valley Park,
27270889,53.8008614,-9.5130649,Rice College C.B.S,
28392379,53.4196478,-6.3872018,Gazelle Walk,
28392400,53.4154934,-6.3877745,Curragh Hall Green,
28911616,53.2686655,-9.0590672,Father Burke Park,
30339937,53.4558379,-6.1797544,Old Yellow Walls Road,
31002696,53.3790744,-6.5905060,FAS scheme sheds,
31002700,53.3789374,-6.5896426,Maynooth Community Playground,
31002703,53.3836139,-6.5948066,Moyglare Road,With: parking ;
31330795,51.9145551,-8.4692037,Spring Lane,
31683090,53.2952334,-6.3283001,Children's Playground,
32135987,53.2976961,-6.2823483,Rathfarnham Castle Park,
32670293,51.8914752,-8.4606301,Rockboro Primary School,
33696350,53.3701024,-6.4414922,Fort Lucan,
34565406,53.2798629,-9.0355911,Lough Atalia Road,
34704041,53.2614683,-6.1580483,Cabinteely Park,
35582139,53.3013275,-6.2895992,Dodder Valley Park,
38622650,53.3852422,-6.5997944,Créche,
38929233,53.3513245,-6.2980832,Phoenix Park,
39222962,54.5811398,-5.9283387,Botanic Gardens,
39391092,53.3850537,-6.5967853,Sport centre,
39658748,52.8388926,-6.9367186,Carlow Town Park Playground,
